Time,ECG1,ECG2
00:55:46.076:1,-0.38,-0.09
00:55:46.080:1,-0.42,-0.075
00:55:46.084:1,-0.455,-0.105
00:55:46.088:1,-0.465,-0.09
00:55:46.092:1,-0.45,-0.095
00:55:46.096:1,-0.45,-0.12
00:55:46.100:1,-0.425,-0.1
00:55:46.104:1,-0.435,-0.095
00:55:46.108:1,-0.48,-0.105
00:55:46.112:1,-0.49,-0.085
00:55:46.116:1,-0.485,-0.1
00:55:46.120:1,-0.455,-0.11
00:55:46.124:1,-0.45,-0.105
00:55:46.128:1,-0.43,-0.105
00:55:46.132:1,-0.445,-0.1
00:55:46.136:1,-0.44,-0.105
00:55:46.140:1,-0.44,-0.065
00:55:46.144:1,-0.43,-0.075
00:55:46.148:1,-0.43,-0.075
00:55:46.152:1,-0.43,-0.095
00:55:46.156:1,-0.43,-0.1
00:55:46.160:1,-0.41,-0.105
00:55:46.164:1,-0.39,-0.115
00:55:46.168:1,-0.395,-0.09
00:55:46.172:1,-0.405,-0.08
00:55:46.176:1,-0.435,-0.095
00:55:46.180:1,-0.415,-0.1
00:55:46.184:1,-0.42,-0.09
00:55:46.188:1,-0.395,-0.125
00:55:46.192:1,-0.37,-0.115
00:55:46.196:1,-0.345,-0.125
00:55:46.200:1,-0.355,-0.12
00:55:46.204:1,-0.355,-0.135
00:55:46.208:1,-0.34,-0.135
00:55:46.212:1,-0.32,-0.15
00:55:46.216:1,-0.3,-0.14
00:55:46.220:1,-0.285,-0.125
00:55:46.224:1,-0.275,-0.13
00:55:46.228:1,-0.28,-0.1
00:55:46.232:1,-0.255,-0.13
00:55:46.236:1,-0.25,-0.13
00:55:46.240:1,-0.22,-0.135
00:55:46.244:1,-0.2,-0.135
00:55:46.248:1,-0.2,-0.12
00:55:46.252:1,-0.21,-0.105
00:55:46.256:1,-0.185,-0.11
00:55:46.260:1,-0.155,-0.09
00:55:46.264:1,-0.15,-0.11
00:55:46.268:1,-0.145,-0.11
00:55:46.272:1,-0.13,-0.095
00:55:46.276:1,-0.16,-0.095
00:55:46.280:1,-0.18,-0.085
00:55:46.284:1,-0.175,-0.095
00:55:46.288:1,-0.16,-0.075
00:55:46.292:1,-0.15,-0.095
00:55:46.296:1,-0.135,-0.09
00:55:46.300:1,-0.165,-0.095
00:55:46.304:1,-0.195,-0.095
00:55:46.308:1,-0.19,-0.085
00:55:46.312:1,-0.18,-0.085
00:55:46.316:1,-0.155,-0.065
00:55:46.320:1,-0.14,-0.07
00:55:46.324:1,-0.16,-0.065
00:55:46.328:1,-0.18,-0.055
00:55:46.332:1,-0.17,-0.075
00:55:46.336:1,-0.12,-0.06
00:55:46.340:1,-0.14,-0.07
00:55:46.344:1,-0.13,-0.06
00:55:46.348:1,-0.095,-0.04
00:55:46.352:1,-0.095,-0.035
00:55:46.356:1,-0.105,-0.035
