Time,ECG1,ECG2
00:07:53.152:1,-0.22,-0.16
00:07:53.156:1,-0.225,-0.165
00:07:53.160:1,-0.225,-0.17
00:07:53.164:1,-0.23,-0.18
00:07:53.168:1,-0.22,-0.155
00:07:53.172:1,-0.225,-0.175
00:07:53.176:1,-0.22,-0.175
00:07:53.180:1,-0.25,-0.17
00:07:53.184:1,-0.245,-0.17
00:07:53.188:1,-0.255,-0.18
00:07:53.192:1,-0.25,-0.185
00:07:53.196:1,-0.24,-0.185
00:07:53.200:1,-0.24,-0.195
00:07:53.204:1,-0.22,-0.185
00:07:53.208:1,-0.24,-0.205
00:07:53.212:1,-0.215,-0.19
00:07:53.216:1,-0.21,-0.175
00:07:53.220:1,-0.21,-0.18
00:07:53.224:1,-0.22,-0.175
00:07:53.228:1,-0.21,-0.21
00:07:53.232:1,-0.215,-0.185
00:07:53.236:1,-0.225,-0.16
00:07:53.240:1,-0.21,-0.17
00:07:53.244:1,-0.22,-0.17
00:07:53.248:1,-0.225,-0.17
00:07:53.252:1,-0.215,-0.195
00:07:53.256:1,-0.225,-0.19
00:07:53.260:1,-0.245,-0.195
00:07:53.264:1,-0.225,-0.175
00:07:53.268:1,-0.25,-0.175
00:07:53.272:1,-0.25,-0.18
00:07:53.276:1,-0.265,-0.205
00:07:53.280:1,-0.26,-0.19
00:07:53.284:1,-0.25,-0.185
00:07:53.288:1,-0.255,-0.2
00:07:53.292:1,-0.25,-0.2
00:07:53.296:1,-0.25,-0.19
00:07:53.300:1,-0.255,-0.205
00:07:53.304:1,-0.27,-0.205
00:07:53.308:1,-0.285,-0.205
00:07:53.312:1,-0.29,-0.19
00:07:53.316:1,-0.27,-0.21
00:07:53.320:1,-0.26,-0.195
00:07:53.324:1,-0.255,-0.205
00:07:53.328:1,-0.23,-0.205
00:07:53.332:1,-0.24,-0.205
00:07:53.336:1,-0.23,-0.18
00:07:53.340:1,-0.235,-0.185
00:07:53.344:1,-0.23,-0.18
00:07:53.348:1,-0.235,-0.175
00:07:53.352:1,-0.23,-0.17
00:07:53.356:1,-0.225,-0.19
00:07:53.360:1,-0.23,-0.185
00:07:53.364:1,-0.235,-0.195
00:07:53.368:1,-0.245,-0.205
00:07:53.372:1,-0.215,-0.195
00:07:53.376:1,-0.215,-0.195
00:07:53.380:1,-0.21,-0.215
00:07:53.384:1,-0.195,-0.24
00:07:53.388:1,-0.18,-0.21
00:07:53.392:1,-0.185,-0.19
00:07:53.396:1,-0.175,-0.205
00:07:53.400:1,-0.185,-0.19
00:07:53.404:1,-0.175,-0.21
00:07:53.408:1,-0.15,-0.21
00:07:53.412:1,-0.155,-0.205
00:07:53.416:1,-0.11,-0.16
00:07:53.420:1,-0.07,-0.175
00:07:53.424:1,-0.045,-0.15
00:07:53.428:1,-0.02,-0.145
00:07:53.432:1,0.0,-0.16
00:07:53.436:1,0.025,-0.175
00:07:53.440:1,0.035,-0.205
00:07:53.444:1,0.04,-0.21
00:07:53.448:1,0.0,-0.23
00:07:53.452:1,-0.02,-0.24
00:07:53.456:1,-0.07,-0.245
00:07:53.460:1,-0.115,-0.265
00:07:53.464:1,-0.15,-0.25
00:07:53.468:1,-0.185,-0.245
00:07:53.472:1,-0.255,-0.235
00:07:53.476:1,-0.27,-0.235
00:07:53.480:1,-0.295,-0.215
00:07:53.484:1,-0.305,-0.235
00:07:53.488:1,-0.31,-0.245
00:07:53.492:1,-0.325,-0.265
00:07:53.496:1,-0.315,-0.245
00:07:53.500:1,-0.315,-0.285
00:07:53.504:1,-0.32,-0.275
00:07:53.508:1,-0.315,-0.285
00:07:53.512:1,-0.315,-0.285
00:07:53.516:1,-0.31,-0.28
00:07:53.520:1,-0.31,-0.29
00:07:53.524:1,-0.29,-0.285
00:07:53.528:1,-0.285,-0.285
00:07:53.532:1,-0.285,-0.295
00:07:53.536:1,-0.285,-0.285
00:07:53.540:1,-0.28,-0.3
00:07:53.544:1,-0.28,-0.285
00:07:53.548:1,-0.28,-0.285
00:07:53.552:1,-0.26,-0.29
00:07:53.556:1,-0.29,-0.28
00:07:53.560:1,-0.295,-0.285
00:07:53.564:1,-0.29,-0.295
00:07:53.568:1,-0.305,-0.28
00:07:53.572:1,-0.3,-0.3
00:07:53.576:1,-0.255,-0.28
00:07:53.580:1,-0.22,-0.295
00:07:53.584:1,-0.24,-0.305
00:07:53.588:1,-0.225,-0.3
00:07:53.592:1,-0.195,-0.315
00:07:53.596:1,-0.1,-0.305
00:07:53.600:1,0.01,-0.305
00:07:53.604:1,0.085,-0.305
00:07:53.608:1,0.155,-0.355
00:07:53.612:1,0.205,-0.355
00:07:53.616:1,0.235,-0.36
00:07:53.620:1,0.22,-0.32
00:07:53.624:1,0.17,-0.315
00:07:53.628:1,0.12,-0.32
00:07:53.632:1,0.185,-0.37
00:07:53.636:1,0.42,-0.5
00:07:53.640:1,0.72,-0.7
00:07:53.644:1,1.015,-0.975
00:07:53.648:1,1.205,-1.21
00:07:53.652:1,1.225,-1.275
00:07:53.656:1,1.01,-1.12
00:07:53.660:1,0.565,-0.805
00:07:53.664:1,0.185,-0.475
00:07:53.668:1,-0.045,-0.255
00:07:53.672:1,-0.14,-0.135
00:07:53.676:1,-0.2,-0.105
00:07:53.680:1,-0.275,-0.09
00:07:53.684:1,-0.3,-0.11
00:07:53.688:1,-0.33,-0.145
00:07:53.692:1,-0.355,-0.16
00:07:53.696:1,-0.425,-0.17
00:07:53.700:1,-0.425,-0.21
00:07:53.704:1,-0.415,-0.235
00:07:53.708:1,-0.415,-0.24
00:07:53.712:1,-0.415,-0.25
00:07:53.716:1,-0.425,-0.265
00:07:53.720:1,-0.44,-0.27
00:07:53.724:1,-0.445,-0.29
00:07:53.728:1,-0.445,-0.265
