'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[10:00:00.000]',-0.255,0.035
'[10:00:00.008]',-0.085,0.085
'[10:00:00.016]',-0.135,0.045
'[10:00:00.023]',-0.125,-0.035
'[10:00:00.031]',-0.195,-0.035
'[10:00:00.039]',-0.245,-0.075
'[10:00:00.047]',-0.335,-0.095
'[10:00:00.055]',-0.435,-0.105
'[10:00:00.063]',-0.435,-0.125
'[10:00:00.070]',-0.435,-0.145
'[10:00:00.078]',-0.455,-0.145
'[10:00:00.086]',-0.475,-0.135
'[10:00:00.094]',-0.415,-0.165
'[10:00:00.102]',-0.355,-0.155
'[10:00:00.109]',-0.535,-0.095
'[10:00:00.117]',-0.875,0.015
'[10:00:00.125]',-0.445,0.255
'[10:00:00.133]',1.035,0.385
'[10:00:00.141]',2.535,0.045
'[10:00:00.148]',2.905,-0.765
'[10:00:00.156]',1.325,-1.205
'[10:00:00.164]',-0.005,-0.885
'[10:00:00.172]',-0.415,-0.445
'[10:00:00.180]',-0.505,-0.095
'[10:00:00.188]',-0.545,-0.045
'[10:00:00.195]',-0.565,-0.035
'[10:00:00.203]',-0.585,-0.095
'[10:00:00.211]',-0.555,-0.115
'[10:00:00.219]',-0.585,-0.085
'[10:00:00.227]',-0.585,-0.085
'[10:00:00.234]',-0.465,-0.075
'[10:00:00.242]',-0.535,-0.065
'[10:00:00.250]',-0.535,-0.025
'[10:00:00.258]',-0.565,-0.095
'[10:00:00.266]',-0.575,-0.095
'[10:00:00.273]',-0.495,-0.095
'[10:00:00.281]',-0.475,-0.065
'[10:00:00.289]',-0.475,-0.025
'[10:00:00.297]',-0.425,-0.045
'[10:00:00.305]',-0.415,-0.105
'[10:00:00.313]',-0.465,-0.105
'[10:00:00.320]',-0.435,-0.105
'[10:00:00.328]',-0.395,-0.115
'[10:00:00.336]',-0.355,-0.135
'[10:00:00.344]',-0.395,-0.125
'[10:00:00.352]',-0.365,-0.095
'[10:00:00.359]',-0.345,-0.125
'[10:00:00.367]',-0.355,-0.135
'[10:00:00.375]',-0.375,-0.165
'[10:00:00.383]',-0.285,-0.155
'[10:00:00.391]',-0.285,-0.115
'[10:00:00.398]',-0.275,-0.085
'[10:00:00.406]',-0.205,-0.115
'[10:00:00.414]',-0.185,-0.055
'[10:00:00.422]',-0.215,-0.005
'[10:00:00.430]',-0.205,0.015
