'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[09:50:00.000]',-0.355,-0.215
'[09:50:00.008]',-0.355,-0.205
'[09:50:00.016]',-0.345,-0.205
'[09:50:00.023]',-0.335,-0.215
'[09:50:00.031]',-0.335,-0.225
'[09:50:00.039]',-0.345,-0.225
'[09:50:00.047]',-0.345,-0.235
'[09:50:00.055]',-0.375,-0.235
'[09:50:00.063]',-0.365,-0.255
'[09:50:00.070]',-0.355,-0.255
'[09:50:00.078]',-0.365,-0.245
'[09:50:00.086]',-0.355,-0.265
'[09:50:00.094]',-0.385,-0.295
'[09:50:00.102]',-0.385,-0.285
'[09:50:00.109]',-0.375,-0.285
'[09:50:00.117]',-0.415,-0.295
'[09:50:00.125]',-0.405,-0.285
'[09:50:00.133]',-0.415,-0.305
'[09:50:00.141]',-0.415,-0.265
'[09:50:00.148]',-0.385,-0.285
'[09:50:00.156]',-0.395,-0.295
'[09:50:00.164]',-0.395,-0.305
'[09:50:00.172]',-0.405,-0.285
'[09:50:00.180]',-0.395,-0.285
'[09:50:00.188]',-0.395,-0.295
'[09:50:00.195]',-0.385,-0.295
'[09:50:00.203]',-0.385,-0.275
'[09:50:00.211]',-0.355,-0.275
'[09:50:00.219]',-0.365,-0.285
'[09:50:00.227]',-0.375,-0.255
'[09:50:00.234]',-0.345,-0.235
'[09:50:00.242]',-0.325,-0.185
'[09:50:00.250]',-0.325,-0.205
'[09:50:00.258]',-0.285,-0.125
'[09:50:00.266]',-0.215,-0.125
'[09:50:00.273]',-0.195,-0.135
'[09:50:00.281]',-0.235,-0.205
'[09:50:00.289]',-0.285,-0.245
'[09:50:00.297]',-0.315,-0.305
'[09:50:00.305]',-0.395,-0.305
'[09:50:00.313]',-0.415,-0.295
'[09:50:00.320]',-0.415,-0.315
'[09:50:00.328]',-0.385,-0.285
'[09:50:00.336]',-0.385,-0.305
'[09:50:00.344]',-0.395,-0.295
'[09:50:00.352]',-0.405,-0.285
'[09:50:00.359]',-0.325,-0.265
'[09:50:00.367]',-0.505,-0.355
'[09:50:00.375]',-0.765,-0.075
'[09:50:00.383]',-0.695,0.325
'[09:50:00.391]',0.095,0.125
'[09:50:00.398]',1.265,-0.165
'[09:50:00.406]',2.455,0.305
'[09:50:00.414]',3.025,-0.135
'[09:50:00.422]',1.425,-1.285
'[09:50:00.430]',-0.625,-1.045
'[09:50:00.438]',-1.085,-0.705
'[09:50:00.445]',-0.935,-0.495
'[09:50:00.453]',-0.765,-0.235
'[09:50:00.461]',-0.485,0.045
'[09:50:00.469]',-0.375,0.065
'[09:50:00.477]',-0.375,0.065
'[09:50:00.484]',-0.325,0.105
'[09:50:00.492]',-0.335,0.125
'[09:50:00.500]',-0.305,0.165
'[09:50:00.508]',-0.285,0.185
'[09:50:00.516]',-0.245,0.235
'[09:50:00.523]',-0.205,0.265
'[09:50:00.531]',-0.175,0.305
'[09:50:00.539]',-0.185,0.335
'[09:50:00.547]',-0.125,0.405
'[09:50:00.555]',-0.115,0.465
'[09:50:00.563]',-0.075,0.525
'[09:50:00.570]',-0.025,0.625
'[09:50:00.578]',0.045,0.725
'[09:50:00.586]',0.135,0.805
'[09:50:00.594]',0.185,0.885
'[09:50:00.602]',0.275,0.975
'[09:50:00.609]',0.365,1.035
'[09:50:00.617]',0.435,1.065
'[09:50:00.625]',0.495,1.045
'[09:50:00.633]',0.545,0.975
'[09:50:00.641]',0.555,0.885
'[09:50:00.648]',0.565,0.715
'[09:50:00.656]',0.445,0.515
'[09:50:00.664]',0.295,0.325
'[09:50:00.672]',0.145,0.165
'[09:50:00.680]',-0.025,0.015
'[09:50:00.688]',-0.145,-0.085
'[09:50:00.695]',-0.245,-0.145
'[09:50:00.703]',-0.285,-0.155
'[09:50:00.711]',-0.305,-0.195
'[09:50:00.719]',-0.345,-0.225
'[09:50:00.727]',-0.365,-0.215
'[09:50:00.734]',-0.365,-0.235
'[09:50:00.742]',-0.385,-0.225
'[09:50:00.750]',-0.385,-0.235
'[09:50:00.758]',-0.375,-0.225
'[09:50:00.766]',-0.365,-0.195
'[09:50:00.773]',-0.365,-0.205
'[09:50:00.781]',-0.365,-0.215
'[09:50:00.789]',-0.365,-0.205
'[09:50:00.797]',-0.355,-0.185
'[09:50:00.805]',-0.375,-0.185
'[09:50:00.813]',-0.355,-0.195
'[09:50:00.820]',-0.365,-0.205
'[09:50:00.828]',-0.355,-0.175
'[09:50:00.836]',-0.335,-0.195
'[09:50:00.844]',-0.335,-0.215
'[09:50:00.852]',-0.345,-0.225
'[09:50:00.859]',-0.355,-0.215
'[09:50:00.867]',-0.365,-0.215
'[09:50:00.875]',-0.365,-0.225
'[09:50:00.883]',-0.355,-0.245
'[09:50:00.891]',-0.385,-0.245
'[09:50:00.898]',-0.375,-0.255
'[09:50:00.906]',-0.385,-0.275
'[09:50:00.914]',-0.385,-0.265
'[09:50:00.922]',-0.385,-0.275
'[09:50:00.930]',-0.395,-0.265
'[09:50:00.938]',-0.395,-0.275
'[09:50:00.945]',-0.385,-0.285
'[09:50:00.953]',-0.395,-0.265
'[09:50:00.961]',-0.385,-0.275
'[09:50:00.969]',-0.385,-0.285
'[09:50:00.977]',-0.395,-0.295
'[09:50:00.984]',-0.365,-0.275
'[09:50:00.992]',-0.395,-0.285
'[09:50:01.000]',-0.375,-0.265
'[09:50:01.008]',-0.385,-0.285
'[09:50:01.016]',-0.365,-0.265
'[09:50:01.023]',-0.345,-0.275
'[09:50:01.031]',-0.365,-0.275
'[09:50:01.039]',-0.365,-0.265
'[09:50:01.047]',-0.355,-0.265
'[09:50:01.055]',-0.375,-0.245
'[09:50:01.063]',-0.335,-0.225
'[09:50:01.070]',-0.305,-0.185
'[09:50:01.078]',-0.295,-0.165
'[09:50:01.086]',-0.225,-0.125
'[09:50:01.094]',-0.175,-0.105
'[09:50:01.102]',-0.175,-0.135
'[09:50:01.109]',-0.195,-0.195
'[09:50:01.117]',-0.245,-0.235
'[09:50:01.125]',-0.275,-0.285
'[09:50:01.133]',-0.315,-0.295
'[09:50:01.141]',-0.345,-0.285
'[09:50:01.148]',-0.345,-0.295
'[09:50:01.156]',-0.345,-0.285
'[09:50:01.164]',-0.325,-0.285
'[09:50:01.172]',-0.325,-0.295
'[09:50:01.180]',-0.335,-0.275
'[09:50:01.188]',-0.295,-0.265
'[09:50:01.195]',-0.505,-0.355
'[09:50:01.203]',-0.695,0.045
'[09:50:01.211]',-0.475,0.305
'[09:50:01.219]',0.315,-0.125
'[09:50:01.227]',1.475,-0.165
'[09:50:01.234]',2.585,0.405
'[09:50:01.242]',3.015,-0.135
'[09:50:01.250]',1.345,-1.265
'[09:50:01.258]',-0.595,-1.065
'[09:50:01.266]',-1.015,-0.675
'[09:50:01.273]',-0.815,-0.425
'[09:50:01.281]',-0.635,-0.145
'[09:50:01.289]',-0.345,0.075
'[09:50:01.297]',-0.275,0.085
'[09:50:01.305]',-0.275,0.105
'[09:50:01.313]',-0.245,0.115
'[09:50:01.320]',-0.225,0.145
'[09:50:01.328]',-0.205,0.185
'[09:50:01.336]',-0.175,0.215
'[09:50:01.344]',-0.145,0.235
'[09:50:01.352]',-0.115,0.265
'[09:50:01.359]',-0.085,0.295
'[09:50:01.367]',-0.085,0.355
'[09:50:01.375]',-0.045,0.395
'[09:50:01.383]',0.005,0.455
'[09:50:01.391]',0.045,0.545
'[09:50:01.398]',0.125,0.605
'[09:50:01.406]',0.145,0.685
'[09:50:01.414]',0.205,0.775
'[09:50:01.422]',0.305,0.875
'[09:50:01.430]',0.375,0.955
'[09:50:01.438]',0.455,0.995
'[09:50:01.445]',0.565,1.045
'[09:50:01.453]',0.615,1.035
'[09:50:01.461]',0.675,0.965
'[09:50:01.469]',0.665,0.855
'[09:50:01.477]',0.645,0.715
'[09:50:01.484]',0.535,0.515
'[09:50:01.492]',0.405,0.375
'[09:50:01.500]',0.255,0.205
'[09:50:01.508]',0.105,0.055
'[09:50:01.516]',-0.015,-0.025
'[09:50:01.523]',-0.105,-0.105
'[09:50:01.531]',-0.175,-0.155
'[09:50:01.539]',-0.225,-0.175
'[09:50:01.547]',-0.225,-0.195
'[09:50:01.555]',-0.265,-0.195
'[09:50:01.563]',-0.245,-0.205
'[09:50:01.570]',-0.255,-0.205
'[09:50:01.578]',-0.235,-0.185
'[09:50:01.586]',-0.235,-0.185
'[09:50:01.594]',-0.225,-0.195
'[09:50:01.602]',-0.225,-0.185
'[09:50:01.609]',-0.215,-0.185
'[09:50:01.617]',-0.225,-0.175
'[09:50:01.625]',-0.215,-0.185
'[09:50:01.633]',-0.215,-0.185
'[09:50:01.641]',-0.185,-0.165
'[09:50:01.648]',-0.185,-0.175
'[09:50:01.656]',-0.205,-0.195
'[09:50:01.664]',-0.195,-0.185
'[09:50:01.672]',-0.185,-0.185
'[09:50:01.680]',-0.205,-0.185
'[09:50:01.688]',-0.215,-0.205
'[09:50:01.695]',-0.205,-0.215
'[09:50:01.703]',-0.205,-0.205
'[09:50:01.711]',-0.195,-0.225
'[09:50:01.719]',-0.215,-0.245
'[09:50:01.727]',-0.205,-0.235
'[09:50:01.734]',-0.205,-0.245
'[09:50:01.742]',-0.225,-0.235
'[09:50:01.750]',-0.205,-0.235
'[09:50:01.758]',-0.205,-0.235
'[09:50:01.766]',-0.205,-0.235
'[09:50:01.773]',-0.195,-0.235
'[09:50:01.781]',-0.195,-0.245
'[09:50:01.789]',-0.195,-0.235
'[09:50:01.797]',-0.165,-0.235
