'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[12:03:00.000]',-0.125,-0.045
'[12:03:00.008]',-0.115,-0.105
'[12:03:00.016]',-0.145,-0.115
'[12:03:00.023]',-0.135,-0.075
'[12:03:00.031]',-0.135,-0.045
'[12:03:00.039]',-0.135,-0.055
'[12:03:00.047]',-0.135,-0.035
'[12:03:00.055]',-0.115,-0.025
'[12:03:00.063]',-0.135,-0.065
'[12:03:00.070]',-0.155,-0.055
'[12:03:00.078]',-0.135,0.015
'[12:03:00.086]',-0.125,-0.095
'[12:03:00.094]',-0.125,-0.115
'[12:03:00.102]',-0.115,-0.055
'[12:03:00.109]',-0.125,-0.085
'[12:03:00.117]',-0.115,-0.045
'[12:03:00.125]',-0.105,-0.065
'[12:03:00.133]',-0.115,-0.105
'[12:03:00.141]',-0.135,-0.065
'[12:03:00.148]',-0.095,0.005
'[12:03:00.156]',-0.035,0.005
'[12:03:00.164]',-0.055,-0.005
'[12:03:00.172]',-0.005,-0.005
'[12:03:00.180]',0.025,0.055
'[12:03:00.188]',0.045,0.025
'[12:03:00.195]',0.025,-0.055
'[12:03:00.203]',0.005,-0.025
'[12:03:00.211]',-0.015,-0.115
'[12:03:00.219]',-0.055,-0.095
'[12:03:00.227]',-0.085,-0.085
'[12:03:00.234]',-0.105,-0.095
'[12:03:00.242]',-0.105,-0.135
'[12:03:00.250]',-0.125,-0.085
'[12:03:00.258]',-0.105,-0.005
'[12:03:00.266]',-0.095,-0.115
'[12:03:00.273]',-0.015,0.035
'[12:03:00.281]',0.015,-0.005
'[12:03:00.289]',0.525,-0.205
'[12:03:00.297]',1.145,-0.335
'[12:03:00.305]',1.215,-0.545
'[12:03:00.313]',-0.125,-0.685
'[12:03:00.320]',-0.755,-0.525
'[12:03:00.328]',-0.555,-0.105
'[12:03:00.336]',-0.195,-0.095
'[12:03:00.344]',-0.095,-0.045
'[12:03:00.352]',-0.105,-0.055
'[12:03:00.359]',-0.095,-0.065
'[12:03:00.367]',-0.125,-0.095
'[12:03:00.375]',-0.105,-0.035
'[12:03:00.383]',-0.095,-0.085
'[12:03:00.391]',-0.115,-0.045
'[12:03:00.398]',-0.075,-0.045
'[12:03:00.406]',-0.065,-0.095
'[12:03:00.414]',-0.085,-0.045
'[12:03:00.422]',-0.065,0.025
'[12:03:00.430]',-0.035,-0.085
'[12:03:00.438]',-0.065,-0.045
'[12:03:00.445]',-0.025,-0.065
'[12:03:00.453]',-0.055,-0.065
'[12:03:00.461]',-0.025,0.075
'[12:03:00.469]',-0.005,-0.095
'[12:03:00.477]',0.005,-0.085
'[12:03:00.484]',0.005,-0.045
'[12:03:00.492]',0.035,-0.025
'[12:03:00.500]',0.055,-0.015
'[12:03:00.508]',0.045,-0.045
'[12:03:00.516]',0.045,0.025
'[12:03:00.523]',0.125,-0.045
'[12:03:00.531]',0.145,-0.065
'[12:03:00.539]',0.155,-0.035
'[12:03:00.547]',0.215,-0.075
'[12:03:00.555]',0.235,-0.005
'[12:03:00.563]',0.265,-0.105
'[12:03:00.570]',0.295,-0.095
'[12:03:00.578]',0.295,-0.065
'[12:03:00.586]',0.335,-0.045
'[12:03:00.594]',0.295,0.005
'[12:03:00.602]',0.345,-0.105
'[12:03:00.609]',0.295,-0.065
'[12:03:00.617]',0.265,-0.075
'[12:03:00.625]',0.195,-0.045
'[12:03:00.633]',0.085,-0.025
'[12:03:00.641]',0.035,-0.075
'[12:03:00.648]',-0.025,-0.065
'[12:03:00.656]',-0.085,-0.025
'[12:03:00.664]',-0.105,0.035
'[12:03:00.672]',-0.085,-0.055
'[12:03:00.680]',-0.105,-0.105
'[12:03:00.688]',-0.155,-0.065
'[12:03:00.695]',-0.135,0.025
'[12:03:00.703]',-0.135,-0.085
'[12:03:00.711]',-0.125,-0.115
'[12:03:00.719]',-0.145,-0.065
'[12:03:00.727]',-0.135,-0.045
'[12:03:00.734]',-0.125,-0.005
'[12:03:00.742]',-0.145,-0.035
'[12:03:00.750]',-0.125,0.045
'[12:03:00.758]',-0.125,-0.085
'[12:03:00.766]',-0.135,-0.085
'[12:03:00.773]',-0.105,-0.045
'[12:03:00.781]',-0.105,-0.045
'[12:03:00.789]',-0.115,-0.055
'[12:03:00.797]',-0.105,-0.085
'[12:03:00.805]',-0.095,-0.075
'[12:03:00.813]',-0.105,-0.035
'[12:03:00.820]',-0.125,-0.005
'[12:03:00.828]',-0.135,-0.025
'[12:03:00.836]',-0.115,-0.015
'[12:03:00.844]',-0.095,-0.095
'[12:03:00.852]',-0.105,-0.065
'[12:03:00.859]',-0.085,-0.045
'[12:03:00.867]',-0.115,-0.135
'[12:03:00.875]',-0.115,-0.065
'[12:03:00.883]',-0.125,-0.055
'[12:03:00.891]',-0.155,-0.065
'[12:03:00.898]',-0.145,-0.055
'[12:03:00.906]',-0.145,-0.005
'[12:03:00.914]',-0.135,-0.005
'[12:03:00.922]',-0.135,-0.115
'[12:03:00.930]',-0.125,-0.045
'[12:03:00.938]',-0.135,-0.155
'[12:03:00.945]',-0.125,-0.115
'[12:03:00.953]',-0.145,-0.095
'[12:03:00.961]',-0.135,-0.075
'[12:03:00.969]',-0.135,-0.075
'[12:03:00.977]',-0.135,-0.045
'[12:03:00.984]',-0.135,-0.075
'[12:03:00.992]',-0.145,-0.055
'[12:03:01.000]',-0.155,0.005
'[12:03:01.008]',-0.145,0.035
'[12:03:01.016]',-0.145,-0.125
'[12:03:01.023]',-0.145,-0.045
'[12:03:01.031]',-0.105,-0.145
'[12:03:01.039]',-0.125,-0.115
'[12:03:01.047]',-0.115,-0.105
'[12:03:01.055]',-0.145,-0.055
'[12:03:01.063]',-0.125,-0.055
'[12:03:01.070]',-0.125,-0.045
'[12:03:01.078]',-0.155,-0.055
'[12:03:01.086]',-0.145,-0.045
'[12:03:01.094]',-0.145,-0.035
'[12:03:01.102]',-0.135,-0.025
'[12:03:01.109]',-0.105,-0.055
'[12:03:01.117]',-0.095,-0.185
'[12:03:01.125]',-0.115,-0.125
'[12:03:01.133]',-0.115,-0.075
'[12:03:01.141]',-0.125,-0.075
'[12:03:01.148]',-0.115,-0.045
'[12:03:01.156]',-0.115,-0.065
'[12:03:01.164]',-0.115,-0.045
'[12:03:01.172]',-0.105,-0.065
'[12:03:01.180]',-0.135,-0.055
'[12:03:01.188]',-0.095,0.035
'[12:03:01.195]',-0.105,-0.165
'[12:03:01.203]',-0.095,-0.135
'[12:03:01.211]',-0.075,-0.085
'[12:03:01.219]',-0.035,-0.005
'[12:03:01.227]',-0.025,-0.025
'[12:03:01.234]',-0.035,-0.005
'[12:03:01.242]',0.015,0.025
'[12:03:01.250]',0.025,0.085
'[12:03:01.258]',0.065,0.085
'[12:03:01.266]',0.025,-0.135
'[12:03:01.273]',-0.015,-0.105
'[12:03:01.281]',-0.025,-0.045
'[12:03:01.289]',-0.055,-0.135
'[12:03:01.297]',-0.105,-0.145
'[12:03:01.305]',-0.115,-0.125
'[12:03:01.313]',-0.105,-0.105
'[12:03:01.320]',-0.105,-0.095
'[12:03:01.328]',-0.135,-0.095
'[12:03:01.336]',-0.075,0.065
'[12:03:01.344]',-0.025,0.035
'[12:03:01.352]',0.275,-0.165
'[12:03:01.359]',0.885,-0.275
'[12:03:01.367]',1.275,-0.425
'[12:03:01.375]',0.275,-0.685
'[12:03:01.383]',-0.645,-0.595
'[12:03:01.391]',-0.625,-0.245
'[12:03:01.398]',-0.305,-0.075
'[12:03:01.406]',-0.095,-0.065
'[12:03:01.414]',-0.085,-0.105
'[12:03:01.422]',-0.125,-0.085
'[12:03:01.430]',-0.105,-0.015
'[12:03:01.438]',-0.125,-0.085
'[12:03:01.445]',-0.105,-0.045
'[12:03:01.453]',-0.105,-0.095
'[12:03:01.461]',-0.105,-0.065
'[12:03:01.469]',-0.085,-0.085
'[12:03:01.477]',-0.095,-0.075
'[12:03:01.484]',-0.075,-0.035
'[12:03:01.492]',-0.075,-0.085
'[12:03:01.500]',-0.075,-0.015
'[12:03:01.508]',-0.065,-0.055
'[12:03:01.516]',-0.065,-0.045
'[12:03:01.523]',-0.055,-0.035
'[12:03:01.531]',-0.025,-0.095
'[12:03:01.539]',-0.035,-0.045
'[12:03:01.547]',0.005,-0.045
'[12:03:01.555]',0.025,-0.065
'[12:03:01.563]',0.035,-0.105
'[12:03:01.570]',0.055,-0.065
'[12:03:01.578]',0.025,-0.035
'[12:03:01.586]',0.065,-0.075
'[12:03:01.594]',0.105,-0.055
'[12:03:01.602]',0.135,-0.105
'[12:03:01.609]',0.155,-0.055
'[12:03:01.617]',0.165,-0.035
'[12:03:01.625]',0.215,-0.105
'[12:03:01.633]',0.255,-0.115
'[12:03:01.641]',0.255,-0.105
'[12:03:01.648]',0.285,-0.125
'[12:03:01.656]',0.275,-0.095
'[12:03:01.664]',0.285,-0.125
'[12:03:01.672]',0.255,-0.115
'[12:03:01.680]',0.205,-0.105
'[12:03:01.688]',0.125,-0.005
'[12:03:01.695]',0.085,-0.085
'[12:03:01.703]',-0.005,-0.045
'[12:03:01.711]',-0.055,0.015
'[12:03:01.719]',-0.085,-0.005
'[12:03:01.727]',-0.115,-0.075
'[12:03:01.734]',-0.145,-0.075
'[12:03:01.742]',-0.145,-0.055
'[12:03:01.750]',-0.165,-0.005
'[12:03:01.758]',-0.125,-0.085
'[12:03:01.766]',-0.165,-0.125
'[12:03:01.773]',-0.165,0.005
'[12:03:01.781]',-0.155,-0.055
'[12:03:01.789]',-0.155,-0.075
'[12:03:01.797]',-0.175,-0.055
'[12:03:01.805]',-0.165,0.005
'[12:03:01.813]',-0.145,-0.065
'[12:03:01.820]',-0.135,-0.085
'[12:03:01.828]',-0.165,-0.095
'[12:03:01.836]',-0.135,-0.115
'[12:03:01.844]',-0.125,0.005
'[12:03:01.852]',-0.135,-0.085
'[12:03:01.859]',-0.115,-0.065
'[12:03:01.867]',-0.125,-0.085
'[12:03:01.875]',-0.125,0.025
'[12:03:01.883]',-0.115,-0.085
'[12:03:01.891]',-0.155,-0.035
'[12:03:01.898]',-0.105,-0.075
'[12:03:01.906]',-0.095,-0.135
'[12:03:01.914]',-0.125,-0.105
'[12:03:01.922]',-0.105,-0.085
'[12:03:01.930]',-0.115,-0.055
'[12:03:01.938]',-0.155,-0.005
'[12:03:01.945]',-0.125,-0.015
'[12:03:01.953]',-0.135,-0.115
'[12:03:01.961]',-0.135,-0.085
'[12:03:01.969]',-0.155,-0.015
'[12:03:01.977]',-0.125,-0.045
'[12:03:01.984]',-0.135,-0.115
'[12:03:01.992]',-0.125,-0.105
'[12:03:02.000]',-0.145,-0.095
'[12:03:02.008]',-0.125,-0.105
'[12:03:02.016]',-0.165,-0.045
'[12:03:02.023]',-0.145,-0.065
'[12:03:02.031]',-0.125,-0.075
'[12:03:02.039]',-0.135,-0.055
'[12:03:02.047]',-0.155,0.025
'[12:03:02.055]',-0.115,-0.125
'[12:03:02.063]',-0.125,-0.175
'[12:03:02.070]',-0.145,-0.085
'[12:03:02.078]',-0.145,-0.035
'[12:03:02.086]',-0.135,-0.105
'[12:03:02.094]',-0.115,-0.105
'[12:03:02.102]',-0.135,-0.035
'[12:03:02.109]',-0.125,-0.055
'[12:03:02.117]',-0.115,-0.065
'[12:03:02.125]',-0.125,-0.065
'[12:03:02.133]',-0.125,-0.005
'[12:03:02.141]',-0.105,-0.095
'[12:03:02.148]',-0.125,-0.145
'[12:03:02.156]',-0.105,-0.125
'[12:03:02.164]',-0.135,-0.085
'[12:03:02.172]',-0.115,0.005
'[12:03:02.180]',-0.105,-0.075
'[12:03:02.188]',-0.095,-0.115
'[12:03:02.195]',-0.115,-0.065
'[12:03:02.203]',-0.125,-0.015
'[12:03:02.211]',-0.105,-0.055
'[12:03:02.219]',-0.095,-0.065
'[12:03:02.227]',-0.095,-0.135
'[12:03:02.234]',-0.125,-0.105
'[12:03:02.242]',-0.115,-0.045
'[12:03:02.250]',-0.095,-0.025
'[12:03:02.258]',-0.095,-0.125
'[12:03:02.266]',-0.105,-0.085
'[12:03:02.273]',-0.095,-0.045
'[12:03:02.281]',-0.075,-0.045
'[12:03:02.289]',-0.105,-0.025
'[12:03:02.297]',-0.065,-0.065
'[12:03:02.305]',-0.075,-0.145
'[12:03:02.313]',-0.075,-0.045
'[12:03:02.320]',-0.065,-0.085
'[12:03:02.328]',-0.075,-0.115
'[12:03:02.336]',-0.065,-0.095
'[12:03:02.344]',-0.055,0.015
'[12:03:02.352]',-0.005,-0.035
'[12:03:02.359]',0.005,-0.045
'[12:03:02.367]',0.025,0.005
'[12:03:02.375]',0.055,0.025
'[12:03:02.383]',0.095,0.135
'[12:03:02.391]',0.085,-0.095
'[12:03:02.398]',0.075,-0.095
'[12:03:02.406]',0.045,-0.105
'[12:03:02.414]',-0.025,-0.065
'[12:03:02.422]',-0.055,-0.085
'[12:03:02.430]',-0.065,-0.015
'[12:03:02.438]',-0.075,-0.105
'[12:03:02.445]',-0.085,-0.105
'[12:03:02.453]',-0.105,-0.095
'[12:03:02.461]',-0.025,-0.085
'[12:03:02.469]',0.005,0.015
'[12:03:02.477]',0.025,0.005
'[12:03:02.484]',0.515,-0.205
'[12:03:02.492]',1.175,-0.285
'[12:03:02.500]',0.985,-0.575
'[12:03:02.508]',-0.275,-0.575
'[12:03:02.516]',-0.685,-0.415
'[12:03:02.523]',-0.425,-0.145
'[12:03:02.531]',-0.125,-0.085
'[12:03:02.539]',-0.075,-0.085
'[12:03:02.547]',-0.075,-0.035
'[12:03:02.555]',-0.055,-0.095
'[12:03:02.563]',-0.045,-0.105
'[12:03:02.570]',-0.045,-0.125
'[12:03:02.578]',-0.095,-0.075
'[12:03:02.586]',-0.095,0.015
'[12:03:02.594]',-0.085,0.025
'[12:03:02.602]',-0.085,-0.045
'[12:03:02.609]',-0.015,-0.095
'[12:03:02.617]',-0.045,-0.075
'[12:03:02.625]',-0.035,-0.025
'[12:03:02.633]',0.005,-0.015
'[12:03:02.641]',-0.015,0.005
'[12:03:02.648]',0.015,0.015
'[12:03:02.656]',0.045,-0.055
'[12:03:02.664]',0.035,-0.095
'[12:03:02.672]',0.085,-0.015
'[12:03:02.680]',0.095,-0.025
'[12:03:02.688]',0.105,-0.035
'[12:03:02.695]',0.125,-0.075
'[12:03:02.703]',0.115,-0.005
'[12:03:02.711]',0.155,0.005
'[12:03:02.719]',0.165,-0.035
'[12:03:02.727]',0.205,-0.055
'[12:03:02.734]',0.245,-0.115
'[12:03:02.742]',0.295,-0.085
'[12:03:02.750]',0.295,-0.035
'[12:03:02.758]',0.345,-0.035
'[12:03:02.766]',0.325,-0.105
'[12:03:02.773]',0.365,-0.035
'[12:03:02.781]',0.385,-0.065
'[12:03:02.789]',0.395,-0.085
'[12:03:02.797]',0.375,-0.065
'[12:03:02.805]',0.345,-0.065
'[12:03:02.813]',0.285,-0.065
'[12:03:02.820]',0.205,0.105
'[12:03:02.828]',0.165,0.005
'[12:03:02.836]',0.095,-0.155
'[12:03:02.844]',0.015,-0.035
'[12:03:02.852]',-0.005,-0.005
'[12:03:02.859]',-0.035,-0.015
'[12:03:02.867]',-0.055,-0.045
'[12:03:02.875]',-0.075,-0.015
'[12:03:02.883]',-0.065,-0.035
'[12:03:02.891]',-0.115,-0.025
'[12:03:02.898]',-0.095,-0.025
'[12:03:02.906]',-0.115,-0.005
'[12:03:02.914]',-0.085,0.035
'[12:03:02.922]',-0.085,-0.115
'[12:03:02.930]',-0.095,0.045
'[12:03:02.938]',-0.095,-0.075
'[12:03:02.945]',-0.095,-0.025
'[12:03:02.953]',-0.105,-0.055
'[12:03:02.961]',-0.065,-0.055
'[12:03:02.969]',-0.085,0.005
'[12:03:02.977]',-0.045,-0.005
'[12:03:02.984]',-0.045,-0.065
'[12:03:02.992]',-0.055,-0.045
'[12:03:03.000]',-0.065,0.005
'[12:03:03.008]',-0.065,0.005
'[12:03:03.016]',-0.065,0.015
'[12:03:03.023]',-0.045,-0.135
'[12:03:03.031]',-0.065,0.015
'[12:03:03.039]',-0.065,-0.035
'[12:03:03.047]',-0.045,-0.085
'[12:03:03.055]',-0.045,-0.065
'[12:03:03.063]',-0.075,-0.055
'[12:03:03.070]',-0.075,0.015
'[12:03:03.078]',-0.095,-0.035
'[12:03:03.086]',-0.095,0.025
'[12:03:03.094]',-0.095,-0.045
'[12:03:03.102]',-0.075,-0.065
'[12:03:03.109]',-0.065,-0.085
'[12:03:03.117]',-0.115,-0.045
'[12:03:03.125]',-0.085,-0.075
'[12:03:03.133]',-0.085,-0.015
'[12:03:03.141]',-0.105,-0.055
'[12:03:03.148]',-0.115,0.035
'[12:03:03.156]',-0.075,-0.065
'[12:03:03.164]',-0.085,-0.075
'[12:03:03.172]',-0.085,-0.105
'[12:03:03.180]',-0.065,-0.055
'[12:03:03.188]',-0.105,-0.085
'[12:03:03.195]',-0.075,-0.025
'[12:03:03.203]',-0.105,-0.085
'[12:03:03.211]',-0.105,-0.045
'[12:03:03.219]',-0.085,-0.025
'[12:03:03.227]',-0.095,-0.045
'[12:03:03.234]',-0.095,-0.065
'[12:03:03.242]',-0.085,-0.035
'[12:03:03.250]',-0.075,-0.065
'[12:03:03.258]',-0.095,-0.045
'[12:03:03.266]',-0.125,0.005
'[12:03:03.273]',-0.065,-0.105
'[12:03:03.281]',-0.075,-0.105
'[12:03:03.289]',-0.095,-0.055
'[12:03:03.297]',-0.085,-0.045
'[12:03:03.305]',-0.085,-0.055
'[12:03:03.313]',-0.085,-0.045
'[12:03:03.320]',-0.075,-0.045
'[12:03:03.328]',-0.105,-0.045
'[12:03:03.336]',-0.095,-0.035
'[12:03:03.344]',-0.105,-0.015
'[12:03:03.352]',-0.085,-0.005
'[12:03:03.359]',-0.075,-0.075
'[12:03:03.367]',-0.075,-0.055
'[12:03:03.375]',-0.085,-0.065
'[12:03:03.383]',-0.075,-0.065
'[12:03:03.391]',-0.105,-0.055
'[12:03:03.398]',-0.085,-0.025
'[12:03:03.406]',-0.095,0.005
'[12:03:03.414]',-0.065,-0.065
'[12:03:03.422]',-0.085,-0.075
'[12:03:03.430]',-0.095,0.015
'[12:03:03.438]',-0.055,-0.025
'[12:03:03.445]',-0.065,-0.145
'[12:03:03.453]',-0.095,-0.025
'[12:03:03.461]',-0.055,-0.065
'[12:03:03.469]',-0.065,-0.075
'[12:03:03.477]',-0.055,-0.025
'[12:03:03.484]',0.015,0.055
'[12:03:03.492]',-0.015,0.015
'[12:03:03.500]',0.035,0.085
'[12:03:03.508]',0.115,0.105
'[12:03:03.516]',0.075,-0.035
'[12:03:03.523]',0.065,-0.035
'[12:03:03.531]',0.045,-0.055
'[12:03:03.539]',0.005,-0.055
'[12:03:03.547]',-0.045,-0.075
'[12:03:03.555]',-0.065,-0.055
'[12:03:03.563]',-0.105,-0.055
'[12:03:03.570]',-0.075,-0.035
'[12:03:03.578]',-0.085,-0.165
'[12:03:03.586]',-0.055,-0.095
'[12:03:03.594]',-0.045,-0.075
'[12:03:03.602]',-0.025,0.105
'[12:03:03.609]',0.065,-0.015
'[12:03:03.617]',0.645,-0.215
'[12:03:03.625]',1.285,-0.355
'[12:03:03.633]',0.795,-0.525
'[12:03:03.641]',-0.455,-0.695
'[12:03:03.648]',-0.645,-0.335
'[12:03:03.656]',-0.425,-0.075
'[12:03:03.664]',-0.115,0.025
'[12:03:03.672]',-0.045,-0.125
'[12:03:03.680]',-0.075,-0.095
'[12:03:03.688]',-0.095,-0.015
'[12:03:03.695]',-0.095,-0.035
'[12:03:03.703]',-0.095,-0.065
'[12:03:03.711]',-0.085,-0.065
'[12:03:03.719]',-0.075,-0.025
'[12:03:03.727]',-0.095,0.015
'[12:03:03.734]',-0.065,0.055
'[12:03:03.742]',-0.055,-0.075
'[12:03:03.750]',-0.065,0.055
'[12:03:03.758]',-0.065,-0.045
'[12:03:03.766]',-0.055,-0.045
'[12:03:03.773]',-0.035,-0.095
'[12:03:03.781]',-0.015,-0.025
'[12:03:03.789]',-0.015,-0.035
'[12:03:03.797]',0.005,0.005
'[12:03:03.805]',0.025,-0.025
'[12:03:03.813]',0.025,0.025
'[12:03:03.820]',0.055,0.035
'[12:03:03.828]',0.045,-0.045
'[12:03:03.836]',0.085,-0.035
'[12:03:03.844]',0.125,-0.015
'[12:03:03.852]',0.135,-0.065
'[12:03:03.859]',0.175,-0.045
'[12:03:03.867]',0.175,-0.065
'[12:03:03.875]',0.205,-0.005
'[12:03:03.883]',0.245,-0.035
'[12:03:03.891]',0.255,-0.025
'[12:03:03.898]',0.295,-0.035
'[12:03:03.906]',0.335,0.015
'[12:03:03.914]',0.375,0.055
'[12:03:03.922]',0.405,-0.125
'[12:03:03.930]',0.375,-0.085
'[12:03:03.938]',0.375,-0.045
'[12:03:03.945]',0.295,-0.105
'[12:03:03.953]',0.225,-0.075
'[12:03:03.961]',0.165,-0.035
'[12:03:03.969]',0.065,-0.015
'[12:03:03.977]',-0.015,0.005
'[12:03:03.984]',-0.055,0.025
'[12:03:03.992]',-0.075,0.035
'[12:03:04.000]',-0.075,0.005
'[12:03:04.008]',-0.075,-0.125
'[12:03:04.016]',-0.135,-0.045
'[12:03:04.023]',-0.115,-0.015
'[12:03:04.031]',-0.115,-0.075
'[12:03:04.039]',-0.115,-0.025
'[12:03:04.047]',-0.135,-0.035
'[12:03:04.055]',-0.145,-0.005
'[12:03:04.063]',-0.125,-0.015
'[12:03:04.070]',-0.095,-0.055
'[12:03:04.078]',-0.115,0.045
'[12:03:04.086]',-0.065,-0.085
'[12:03:04.094]',-0.075,-0.095
'[12:03:04.102]',-0.085,-0.055
'[12:03:04.109]',-0.085,-0.025
'[12:03:04.117]',-0.075,-0.005
