'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[08:22:00.000]',-0.135,-0.045
'[08:22:00.008]',-0.135,-0.025
'[08:22:00.016]',-0.115,-0.025
'[08:22:00.023]',-0.155,-0.055
'[08:22:00.031]',-0.215,-0.045
'[08:22:00.039]',-0.225,-0.045
'[08:22:00.047]',-0.205,-0.025
'[08:22:00.055]',-0.175,-0.045
'[08:22:00.063]',-0.145,-0.055
'[08:22:00.070]',-0.205,-0.005
'[08:22:00.078]',-0.775,0.165
'[08:22:00.086]',-0.815,-0.035
'[08:22:00.094]',0.305,-0.585
'[08:22:00.102]',2.155,-0.425
'[08:22:00.109]',2.835,-0.005
'[08:22:00.117]',2.665,0.515
'[08:22:00.125]',1.395,-0.085
'[08:22:00.133]',-0.105,-0.785
'[08:22:00.141]',-0.295,-0.345
'[08:22:00.148]',-0.255,-0.045
'[08:22:00.156]',-0.275,-0.055
'[08:22:00.164]',-0.305,-0.065
'[08:22:00.172]',-0.315,-0.065
'[08:22:00.180]',-0.335,-0.065
'[08:22:00.188]',-0.345,-0.085
'[08:22:00.195]',-0.305,-0.085
'[08:22:00.203]',-0.275,-0.085
'[08:22:00.211]',-0.305,-0.085
'[08:22:00.219]',-0.275,-0.125
'[08:22:00.227]',-0.275,-0.125
'[08:22:00.234]',-0.235,-0.105
'[08:22:00.242]',-0.205,-0.125
'[08:22:00.250]',-0.215,-0.135
'[08:22:00.258]',-0.175,-0.165
'[08:22:00.266]',-0.145,-0.155
'[08:22:00.273]',-0.145,-0.195
'[08:22:00.281]',-0.125,-0.225
'[08:22:00.289]',-0.105,-0.225
'[08:22:00.297]',-0.035,-0.245
'[08:22:00.305]',-0.085,-0.285
'[08:22:00.313]',-0.095,-0.305
'[08:22:00.320]',-0.035,-0.325
'[08:22:00.328]',0.015,-0.325
'[08:22:00.336]',0.005,-0.335
'[08:22:00.344]',-0.005,-0.335
'[08:22:00.352]',0.025,-0.265
'[08:22:00.359]',0.005,-0.255
'[08:22:00.367]',-0.055,-0.175
'[08:22:00.375]',-0.055,-0.135
'[08:22:00.383]',-0.105,-0.065
'[08:22:00.391]',-0.095,-0.015
'[08:22:00.398]',-0.155,-0.025
'[08:22:00.406]',-0.135,-0.035
'[08:22:00.414]',-0.155,0.005
'[08:22:00.422]',-0.205,0.025
'[08:22:00.430]',-0.185,0.005
'[08:22:00.438]',-0.175,0.015
'[08:22:00.445]',-0.165,-0.015
'[08:22:00.453]',-0.165,-0.025
