'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[08:28:00.000]',-0.235,-0.035
'[08:28:00.008]',-0.185,-0.035
'[08:28:00.016]',-0.185,0.005
'[08:28:00.023]',-0.175,-0.025
'[08:28:00.031]',-0.195,-0.015
'[08:28:00.039]',-0.485,0.135
'[08:28:00.047]',-0.835,0.075
'[08:28:00.055]',-0.425,-0.215
'[08:28:00.063]',1.165,-0.695
'[08:28:00.070]',2.545,-0.185
'[08:28:00.078]',2.715,0.305
'[08:28:00.086]',2.465,0.705
'[08:28:00.094]',0.905,-0.055
'[08:28:00.102]',-0.265,-0.695
'[08:28:00.109]',-0.335,-0.295
'[08:28:00.117]',-0.225,-0.065
'[08:28:00.125]',-0.285,-0.035
'[08:28:00.133]',-0.305,-0.035
'[08:28:00.141]',-0.285,-0.045
'[08:28:00.148]',-0.345,-0.065
'[08:28:00.156]',-0.355,-0.085
'[08:28:00.164]',-0.325,-0.075
'[08:28:00.172]',-0.295,-0.095
'[08:28:00.180]',-0.305,-0.085
'[08:28:00.188]',-0.265,-0.105
'[08:28:00.195]',-0.215,-0.115
'[08:28:00.203]',-0.265,-0.105
'[08:28:00.211]',-0.265,-0.155
'[08:28:00.219]',-0.245,-0.175
'[08:28:00.227]',-0.185,-0.165
'[08:28:00.234]',-0.175,-0.195
'[08:28:00.242]',-0.205,-0.225
'[08:28:00.250]',-0.195,-0.265
'[08:28:00.258]',-0.155,-0.265
'[08:28:00.266]',-0.075,-0.285
'[08:28:00.273]',-0.085,-0.295
'[08:28:00.281]',-0.065,-0.315
'[08:28:00.289]',-0.055,-0.315
'[08:28:00.297]',-0.085,-0.295
'[08:28:00.305]',-0.065,-0.295
'[08:28:00.313]',-0.075,-0.255
'[08:28:00.320]',-0.065,-0.215
'[08:28:00.328]',-0.075,-0.155
'[08:28:00.336]',-0.095,-0.115
'[08:28:00.344]',-0.095,-0.085
'[08:28:00.352]',-0.075,-0.045
'[08:28:00.359]',-0.165,-0.005
'[08:28:00.367]',-0.155,-0.015
'[08:28:00.375]',-0.095,-0.025
'[08:28:00.383]',-0.215,-0.015
'[08:28:00.391]',-0.215,0.005
'[08:28:00.398]',-0.195,-0.005
'[08:28:00.406]',-0.185,-0.025
'[08:28:00.414]',-0.145,-0.025
'[08:28:00.422]',-0.195,-0.015
'[08:28:00.430]',-0.215,-0.015
'[08:28:00.438]',-0.175,-0.045
'[08:28:00.445]',-0.155,-0.015
'[08:28:00.453]',-0.165,-0.015
'[08:28:00.461]',-0.165,-0.015
'[08:28:00.469]',-0.115,-0.025
'[08:28:00.477]',-0.155,-0.005
'[08:28:00.484]',-0.175,-0.025
'[08:28:00.492]',-0.155,-0.015
'[08:28:00.500]',-0.135,-0.025
'[08:28:00.508]',-0.215,-0.025
'[08:28:00.516]',-0.155,-0.035
'[08:28:00.523]',-0.145,-0.015
'[08:28:00.531]',-0.095,0.005
'[08:28:00.539]',-0.105,0.005
'[08:28:00.547]',-0.045,0.035
'[08:28:00.555]',-0.065,-0.015
'[08:28:00.563]',-0.065,-0.055
'[08:28:00.570]',-0.065,-0.045
'[08:28:00.578]',-0.095,-0.045
'[08:28:00.586]',-0.115,-0.065
'[08:28:00.594]',-0.175,-0.035
'[08:28:00.602]',-0.185,-0.005
'[08:28:00.609]',-0.195,-0.025
'[08:28:00.617]',-0.195,-0.045
'[08:28:00.625]',-0.185,-0.045
'[08:28:00.633]',-0.175,-0.025
'[08:28:00.641]',-0.215,-0.025
'[08:28:00.648]',-0.205,-0.045
'[08:28:00.656]',-0.135,-0.045
'[08:28:00.664]',-0.225,-0.005
'[08:28:00.672]',-0.845,0.165
'[08:28:00.680]',-0.655,-0.015
