'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[08:40:00.000]',-0.185,-0.075
'[08:40:00.008]',-0.155,-0.045
'[08:40:00.016]',-0.145,-0.055
'[08:40:00.023]',-0.135,-0.055
'[08:40:00.031]',-0.105,-0.045
'[08:40:00.039]',-0.095,-0.035
'[08:40:00.047]',-0.095,-0.035
'[08:40:00.055]',-0.065,-0.045
'[08:40:00.063]',-0.055,-0.045
'[08:40:00.070]',-0.025,-0.025
'[08:40:00.078]',-0.005,-0.035
'[08:40:00.086]',0.025,-0.035
'[08:40:00.094]',0.045,-0.025
'[08:40:00.102]',0.075,0.005
'[08:40:00.109]',0.095,-0.005
'[08:40:00.117]',0.105,-0.005
'[08:40:00.125]',0.105,0.025
'[08:40:00.133]',0.115,0.055
'[08:40:00.141]',0.105,0.075
'[08:40:00.148]',0.075,0.055
'[08:40:00.156]',0.045,0.045
'[08:40:00.164]',0.005,0.045
'[08:40:00.172]',-0.045,0.025
'[08:40:00.180]',-0.075,-0.005
'[08:40:00.188]',-0.105,-0.015
'[08:40:00.195]',-0.115,-0.015
'[08:40:00.203]',-0.125,-0.025
'[08:40:00.211]',-0.125,-0.035
'[08:40:00.219]',-0.125,-0.035
'[08:40:00.227]',-0.125,-0.015
'[08:40:00.234]',-0.125,-0.035
'[08:40:00.242]',-0.135,-0.035
'[08:40:00.250]',-0.135,-0.025
'[08:40:00.258]',-0.135,-0.025
'[08:40:00.266]',-0.135,-0.025
'[08:40:00.273]',-0.125,-0.045
'[08:40:00.281]',-0.125,-0.025
'[08:40:00.289]',-0.125,-0.035
'[08:40:00.297]',-0.135,-0.045
'[08:40:00.305]',-0.135,-0.055
'[08:40:00.313]',-0.155,-0.065
'[08:40:00.320]',-0.145,-0.055
'[08:40:00.328]',-0.165,-0.075
'[08:40:00.336]',-0.165,-0.075
'[08:40:00.344]',-0.155,-0.075
'[08:40:00.352]',-0.175,-0.085
'[08:40:00.359]',-0.165,-0.095
'[08:40:00.367]',-0.145,-0.105
'[08:40:00.375]',-0.095,-0.055
'[08:40:00.383]',-0.045,0.005
'[08:40:00.391]',-0.055,-0.035
'[08:40:00.398]',-0.105,-0.095
'[08:40:00.406]',-0.105,-0.085
'[08:40:00.414]',-0.165,-0.115
'[08:40:00.422]',-0.195,-0.125
'[08:40:00.430]',-0.205,-0.125
'[08:40:00.438]',-0.225,-0.125
'[08:40:00.445]',-0.215,-0.115
'[08:40:00.453]',-0.215,-0.125
'[08:40:00.461]',-0.215,-0.135
'[08:40:00.469]',-0.205,-0.125
'[08:40:00.477]',-0.205,-0.115
'[08:40:00.484]',-0.215,-0.115
'[08:40:00.492]',-0.215,-0.135
'[08:40:00.500]',-0.215,-0.115
'[08:40:00.508]',-0.215,-0.105
'[08:40:00.516]',-0.195,-0.105
'[08:40:00.523]',-0.175,-0.105
'[08:40:00.531]',-0.265,-0.075
'[08:40:00.539]',-0.435,-0.025
'[08:40:00.547]',-0.235,0.155
'[08:40:00.555]',0.385,0.315
'[08:40:00.563]',1.325,-0.295
'[08:40:00.570]',1.495,-0.475
'[08:40:00.578]',0.355,-0.725
'[08:40:00.586]',-0.515,-0.935
'[08:40:00.594]',-0.565,-0.555
