'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[11:30:00.000]',-0.215,-0.015
'[11:30:00.008]',-0.195,-0.005
'[11:30:00.016]',-0.185,0.015
'[11:30:00.023]',-0.175,0.025
'[11:30:00.031]',-0.185,0.025
'[11:30:00.039]',-0.145,0.055
'[11:30:00.047]',-0.125,0.055
'[11:30:00.055]',-0.095,0.065
'[11:30:00.063]',-0.055,0.075
'[11:30:00.070]',-0.025,0.085
'[11:30:00.078]',0.025,0.105
'[11:30:00.086]',0.075,0.105
'[11:30:00.094]',0.105,0.095
'[11:30:00.102]',0.155,0.085
'[11:30:00.109]',0.175,0.095
'[11:30:00.117]',0.195,0.075
'[11:30:00.125]',0.215,0.075
'[11:30:00.133]',0.215,0.055
'[11:30:00.141]',0.165,0.045
'[11:30:00.148]',0.105,0.025
'[11:30:00.156]',0.045,-0.015
'[11:30:00.164]',0.005,-0.025
'[11:30:00.172]',-0.045,-0.055
'[11:30:00.180]',-0.075,-0.075
'[11:30:00.188]',-0.085,-0.085
'[11:30:00.195]',-0.115,-0.085
'[11:30:00.203]',-0.115,-0.085
'[11:30:00.211]',-0.125,-0.085
'[11:30:00.219]',-0.115,-0.095
'[11:30:00.227]',-0.115,-0.085
'[11:30:00.234]',-0.105,-0.085
'[11:30:00.242]',-0.105,-0.085
'[11:30:00.250]',-0.095,-0.075
'[11:30:00.258]',-0.065,-0.045
'[11:30:00.266]',-0.035,-0.045
'[11:30:00.273]',-0.025,-0.035
'[11:30:00.281]',-0.005,-0.035
'[11:30:00.289]',0.035,-0.015
'[11:30:00.297]',0.115,-0.055
'[11:30:00.305]',0.155,-0.075
'[11:30:00.313]',0.155,-0.085
'[11:30:00.320]',0.155,-0.095
'[11:30:00.328]',0.115,-0.115
'[11:30:00.336]',0.065,-0.115
'[11:30:00.344]',0.015,-0.145
'[11:30:00.352]',-0.035,-0.165
'[11:30:00.359]',-0.085,-0.195
'[11:30:00.367]',-0.115,-0.195
'[11:30:00.375]',-0.115,-0.195
'[11:30:00.383]',-0.105,-0.195
'[11:30:00.391]',-0.105,-0.135
'[11:30:00.398]',-0.285,-0.075
'[11:30:00.406]',-0.515,0.015
'[11:30:00.414]',-0.315,0.045
'[11:30:00.422]',0.315,-0.215
'[11:30:00.430]',0.835,-0.785
'[11:30:00.438]',0.605,-0.795
'[11:30:00.445]',0.145,-0.665
'[11:30:00.453]',-0.145,-0.455
'[11:30:00.461]',-0.215,-0.235
'[11:30:00.469]',-0.185,-0.165
'[11:30:00.477]',-0.105,-0.185
'[11:30:00.484]',-0.055,-0.195
'[11:30:00.492]',-0.025,-0.205
'[11:30:00.500]',-0.025,-0.185
'[11:30:00.508]',-0.025,-0.195
'[11:30:00.516]',-0.005,-0.195
'[11:30:00.523]',0.005,-0.185
'[11:30:00.531]',0.025,-0.195
'[11:30:00.539]',0.045,-0.195
'[11:30:00.547]',0.055,-0.185
'[11:30:00.555]',0.075,-0.175
'[11:30:00.563]',0.085,-0.155
'[11:30:00.570]',0.125,-0.135
'[11:30:00.578]',0.145,-0.135
'[11:30:00.586]',0.175,-0.125
'[11:30:00.594]',0.195,-0.115
'[11:30:00.602]',0.235,-0.095
'[11:30:00.609]',0.275,-0.105
'[11:30:00.617]',0.325,-0.095
'[11:30:00.625]',0.365,-0.105
'[11:30:00.633]',0.405,-0.095
'[11:30:00.641]',0.435,-0.105
'[11:30:00.648]',0.455,-0.115
'[11:30:00.656]',0.455,-0.135
'[11:30:00.664]',0.455,-0.135
'[11:30:00.672]',0.445,-0.155
'[11:30:00.680]',0.405,-0.185
'[11:30:00.688]',0.365,-0.205
'[11:30:00.695]',0.315,-0.225
'[11:30:00.703]',0.285,-0.245
'[11:30:00.711]',0.235,-0.255
'[11:30:00.719]',0.215,-0.255
'[11:30:00.727]',0.225,-0.255
'[11:30:00.734]',0.215,-0.255
'[11:30:00.742]',0.215,-0.255
'[11:30:00.750]',0.215,-0.255
'[11:30:00.758]',0.235,-0.245
'[11:30:00.766]',0.235,-0.255
'[11:30:00.773]',0.215,-0.255
'[11:30:00.781]',0.215,-0.245
'[11:30:00.789]',0.225,-0.205
'[11:30:00.797]',0.245,-0.195
'[11:30:00.805]',0.285,-0.195
'[11:30:00.813]',0.305,-0.175
'[11:30:00.820]',0.345,-0.165
'[11:30:00.828]',0.355,-0.185
'[11:30:00.836]',0.395,-0.205
'[11:30:00.844]',0.405,-0.205
'[11:30:00.852]',0.425,-0.215
'[11:30:00.859]',0.405,-0.245
'[11:30:00.867]',0.375,-0.245
'[11:30:00.875]',0.355,-0.255
'[11:30:00.883]',0.295,-0.295
'[11:30:00.891]',0.245,-0.315
'[11:30:00.898]',0.205,-0.325
'[11:30:00.906]',0.175,-0.325
'[11:30:00.914]',0.165,-0.305
'[11:30:00.922]',0.195,-0.305
'[11:30:00.930]',0.115,-0.265
'[11:30:00.938]',-0.155,-0.155
'[11:30:00.945]',-0.185,-0.025
'[11:30:00.953]',0.295,-0.205
'[11:30:00.961]',0.935,-0.725
'[11:30:00.969]',0.925,-1.115
'[11:30:00.977]',0.375,-0.935
'[11:30:00.984]',0.065,-0.625
'[11:30:00.992]',0.065,-0.355
'[11:30:01.000]',0.115,-0.265
'[11:30:01.008]',0.145,-0.295
'[11:30:01.016]',0.165,-0.295
'[11:30:01.023]',0.145,-0.295
'[11:30:01.031]',0.165,-0.295
'[11:30:01.039]',0.175,-0.285
'[11:30:01.047]',0.175,-0.275
'[11:30:01.055]',0.175,-0.275
'[11:30:01.063]',0.185,-0.265
'[11:30:01.070]',0.215,-0.255
'[11:30:01.078]',0.225,-0.245
'[11:30:01.086]',0.225,-0.235
'[11:30:01.094]',0.235,-0.225
'[11:30:01.102]',0.265,-0.215
'[11:30:01.109]',0.275,-0.185
'[11:30:01.117]',0.305,-0.175
'[11:30:01.125]',0.325,-0.145
'[11:30:01.133]',0.355,-0.135
'[11:30:01.141]',0.385,-0.115
'[11:30:01.148]',0.415,-0.105
'[11:30:01.156]',0.445,-0.105
'[11:30:01.164]',0.505,-0.115
